"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"05/01/2021","118.835","119.376","0,44","116.756","119.790","34,37B"
"04/01/2021","119.024","118.855","-0,14","118.062","120.354","33,60B"
"30/12/2020","119.410","119.017","-0,33","118.919","120.150","32,09B"
"29/12/2020","119.130","119.409","0,24","118.750","119.861","23,77B"
"28/12/2020","117.806","119.124","1,12","117.805","119.213","25,26B"
"23/12/2020","116.636","117.807","1,00","116.636","118.311","25,37B"
"22/12/2020","115.825","116.636","0,70","115.648","116.903","26,80B"
"21/12/2020","118.021","115.823","-1,87","114.730","118.021","63,52B"
"18/12/2020","118.395","118.024","-0,32","117.638","119.370","35,99B"
"17/12/2020","117.864","118.401","0,46","117.856","119.027","31,82B"
"16/12/2020","116.149","117.857","1,47","115.496","118.178","35,81B"
"15/12/2020","114.613","116.149","1,34","114.613","116.390","30,62B"
"14/12/2020","115.137","114.611","-0,45","114.431","115.740","29,87B"
"11/12/2020","115.128","115.128","0,00","113.949","115.527","31,66B"
"10/12/2020","113.002","115.129","1,88","112.732","115.262","43,57B"
"09/12/2020","113.799","113.001","-0,66","112.567","114.020","32,09B"
"08/12/2020","113.590","113.793","0,18","112.820","114.381","32,00B"
"07/12/2020","113.751","113.590","-0,14","112.629","114.531","33,86B"
"04/12/2020","112.294","113.750","1,30","112.294","113.864","35,01B"
"03/12/2020","111.874","112.292","0,37","111.874","113.377","40,01B"
"02/12/2020","111.402","111.879","0,43","110.579","112.315","38,21B"
"01/12/2020","108.897","111.400","2,30","108.897","111.840","41,51B"
"30/11/2020","110.598","108.893","-1,52","108.829","110.934","52,62B"
"27/11/2020","110.229","110.575","0,32","110.161","111.603","31,07B"
"26/11/2020","110.133","110.227","0,09","109.418","110.245","23,35B"
"25/11/2020","109.786","110.133","0,32","109.315","110.596","31,34B"
"24/11/2020","107.378","109.786","2,24","107.361","109.956","39,28B"
"23/11/2020","106.050","107.379","1,26","106.050","107.495","31,40B"
"20/11/2020","106.670","106.042","-0,59","105.680","106.764","25,11B"
"19/11/2020","106.117","106.670","0,52","105.545","106.973","30,78B"
"18/11/2020","107.246","106.119","-1,05","106.043","107.467","33,80B"
"17/11/2020","106.430","107.249","0,77","105.847","107.810","36,80B"
"16/11/2020","104.729","106.430","1,63","104.729","106.518","54,98B"
"13/11/2020","102.509","104.723","2,16","102.509","104.726","33,65B"
"12/11/2020","104.810","102.507","-2,20","102.034","105.019","34,97B"
"11/11/2020","105.067","104.809","-0,25","104.143","105.462","34,47B"
"10/11/2020","103.516","105.067","1,50","103.453","105.758","51,12B"
"09/11/2020","100.954","103.515","2,57","100.954","105.147","51,91B"
"06/11/2020","100.751","100.925","0,17","99.837","101.104","27,71B"
"05/11/2020","97.873","100.751","2,95","97.872","100.922","32,98B"
"04/11/2020","95.992","97.867","1,97","95.987","98.296","32,98B"
"03/11/2020","93.968","95.980","2,16","93.968","96.350","31,31B"
"30/10/2020","96.579","93.952","-2,72","93.559","96.579","32,35B"
"29/10/2020","95.368","96.582","1,27","93.387","96.688","35,99B"
"28/10/2020","99.598","95.369","-4,25","95.369","99.598","27,13B"
"27/10/2020","101.017","99.606","-1,40","99.414","101.660","26,41B"
"26/10/2020","101.260","101.017","-0,24","99.762","101.784","21,89B"
"23/10/2020","101.918","101.260","-0,65","101.188","102.218","22,85B"
"22/10/2020","100.553","101.918","1,36","100.457","102.020","28,28B"
"21/10/2020","100.541","100.552","0,01","100.149","101.586","25,10B"
"20/10/2020","98.664","100.540","1,91","98.664","100.722","25,37B"
"19/10/2020","98.310","98.658","0,35","98.310","99.917","36,49B"
"16/10/2020","99.054","98.309","-0,75","98.309","99.172","22,59B"
"15/10/2020","99.328","99.054","-0,28","97.778","99.486","24,01B"
"14/10/2020","98.502","99.334","0,84","98.501","99.571","45,78B"
"13/10/2020","97.483","98.503","1,05","97.336","98.998","25,39B"
"09/10/2020","97.924","97.483","-0,45","97.161","98.642","29,13B"
"08/10/2020","95.530","97.920","2,51","95.530","97.938","27,65B"
"07/10/2020","95.616","95.526","-0,09","94.881","96.380","25,59B"
"06/10/2020","96.091","95.615","-0,49","95.211","97.405","21,87B"
"05/10/2020","94.019","96.089","2,21","93.984","96.414","22,69B"
"02/10/2020","95.475","94.016","-1,53","93.897","95.996","23,98B"
"01/10/2020","94.604","95.479","0,93","93.599","95.486","25,30B"
"30/09/2020","93.586","94.603","1,09","93.584","95.340","25,87B"
"29/09/2020","94.665","93.580","-1,15","93.408","95.505","24,54B"
"28/09/2020","97.005","94.666","-2,41","94.371","98.314","28,52B"
